row_id,fault_type,fault_bus,fault_impedance_ohm,pre_fault_voltage_pu,fault_voltage_pu,fault_current_pu,fault_current_ka,loading_pu
30,LLL,0,0.046,1.06,0.5014,1.009,8.0717,0.7849
31,LLL,0,0.01,1.06,0.4529,1.1024,8.8195,0.8463
32,LLL,0,0.014,1.06,0.4557,1.0966,8.7729,0.8531
33,LLL,0,0.018,1.06,0.4586,1.0909,8.7273,0.78
34,LLL,0,0.022,1.06,0.4613,1.0853,8.6825,0.7869
35,LLL,0,0.026,1.06,0.464,1.0798,8.6385,0.7939
36,LLL,0,0.03,1.06,0.4846,1.0419,8.3349,0.783
37,LLL,0,0.034,1.06,0.487,1.0369,8.2949,0.7903
38,LLL,0,0.038,1.06,0.4894,1.032,8.2557,0.7976
39,LLL,0,0.042,1.06,0.4917,1.0271,8.2172,0.8049
40,LLL,0,0.046,1.06,0.494,1.0224,8.1794,0.8123
41,LLL,0,0.01,1.06,0.4448,1.1171,8.9366,0.7944
42,LLL,0,0.014,1.06,0.4478,1.1111,8.8889,0.8011
43,LLL,0,0.018,1.06,0.4691,1.0718,8.5742,0.7895
44,LLL,0,0.022,1.06,0.4717,1.0664,8.5308,0.7965
45,LLL,0,0.026,1.06,0.4744,1.061,8.4883,0.8036
46,LLL,0,0.03,1.06,0.4769,1.0558,8.4465,0.8107
47,LLL,0,0.034,1.06,0.4794,1.0507,8.4055,0.8179
48,LLL,0,0.038,1.06,0.4818,1.0457,8.3653,0.8251
49,LLL,0,0.042,1.06,0.4842,1.0407,8.3258,0.7524
50,LLL,0,0.046,1.06,0.5039,1.0045,8.0359,0.7425
51,LLL,0,0.01,1.06,0.4555,1.0976,8.7805,0.8037
52,LLL,0,0.014,1.06,0.4584,1.0918,8.7343,0.8105
53,LLL,0,0.018,1.06,0.4612,1.0861,8.689,0.8174
54,LLL,0,0.022,1.06,0.4639,1.0806,8.6445,0.8243
55,LLL,0,0.026,1.06,0.4666,1.0751,8.6009,0.8313
56,LLL,0,0.03,1.06,0.4692,1.0698,8.5581,0.8384
57,LLL,0,0.034,1.06,0.4895,1.0323,8.2581,0.7477
58,LLL,0,0.038,1.06,0.4919,1.0274,8.2192,0.7551
59,LLL,0,0.042,1.06,0.4942,1.0226,8.181,0.7624
60,LLL,0,0.046,1.06,0.4965,1.0179,8.1435,0.7699
61,LLL,0,0.01,1.06,0.4475,1.1122,8.8976,0.8317
62,LLL,0,0.014,1.06,0.4504,1.1063,8.8502,0.8385
63,LLL,0,0.018,1.06,0.4533,1.1005,8.8038,0.8453
64,LLL,0,0.022,1.06,0.4744,1.0616,8.4929,0.8339
65,LLL,0,0.026,1.06,0.4769,1.0563,8.4507,0.761
66,LLL,0,0.03,1.06,0.4795,1.0512,8.4093,0.7681
67,LLL,0,0.034,1.06,0.4819,1.0461,8.3687,0.7753
68,LLL,0,0.038,1.06,0.4844,1.0411,8.3288,0.7826
69,LLL,0,0.042,1.06,0.4867,1.0362,8.2896,0.7899
70,LLL,0,0.046,1.06,0.4891,1.0314,8.2511,0.7973
71,LLL,0,0.01,1.06,0.4582,1.0927,8.7415,0.841
72,LLL,0,0.014,1.06,0.4611,1.087,8.6957,0.8478
73,LLL,0,0.018,1.06,0.4638,1.0813,8.6507,0.7747
74,LLL,0,0.022,1.06,0.4665,1.0758,8.6066,0.7817
75,LLL,0,0.026,1.06,0.4692,1.0704,8.5634,0.7887
76,LLL,0,0.03,1.06,0.4718,1.0651,8.5209,0.7958
77,LLL,0,0.034,1.06,0.4743,1.0599,8.4793,0.8029
78,LLL,0,0.038,1.06,0.4944,1.0228,8.1826,0.7926
79,LLL,0,0.042,1.06,0.4967,1.0181,8.1448,0.8
80,LLL,0,0.046,1.06,0.4989,1.0135,8.1076,0.8074
81,LLL,0,0.01,1.06,0.4502,1.1073,8.8585,0.789
82,LLL,0,0.014,1.06,0.4531,1.1014,8.8116,0.7958
83,LLL,0,0.018,1.06,0.4559,1.0957,8.7656,0.8026
84,LLL,0,0.022,1.06,0.4587,1.09,8.7204,0.8095
85,LLL,0,0.026,1.06,0.4795,1.0516,8.4131,0.7984
86,LLL,0,0.03,1.06,0.482,1.0465,8.3721,0.8056
87,LLL,0,0.034,1.06,0.4845,1.0415,8.3318,0.8128
88,LLL,0,0.038,1.06,0.4869,1.0365,8.2922,0.8201
89,LLL,0,0.042,1.06,0.4892,1.0317,8.2534,0.7474
90,LLL,0,0.046,1.06,0.4915,1.0269,8.2152,0.7548
91,LLL,0,0.01,1.06,0.4421,1.122,8.9756,0.8171
92,LLL,0,0.014,1.06,0.4637,1.0821,8.657,0.8052
93,LLL,0,0.018,1.06,0.4665,1.0766,8.6124,0.8121
94,LLL,0,0.022,1.06,0.4691,1.0711,8.5687,0.8191
95,LLL,0,0.026,1.06,0.4718,1.0657,8.5258,0.8262
96,LLL,0,0.03,1.06,0.4743,1.0605,8.4837,0.8333
97,LLL,0,0.034,1.06,0.4769,1.0553,8.4424,0.7604
98,LLL,0,0.038,1.06,0.4793,1.0502,8.4018,0.7676
99,LLL,0,0.042,1.06,0.4992,1.0136,8.1086,0.7575
100,LLL,0,0.046,1.06,0.5014,1.009,8.0717,0.7649
101,LLL,0,0.01,1.06,0.4529,1.1024,8.8195,0.8263
102,LLL,0,0.014,1.06,0.4557,1.0966,8.7729,0.8331
103,LLL,0,0.018,1.06,0.4586,1.0909,8.7273,0.84
104,LLL,0,0.022,1.06,0.4613,1.0853,8.6825,0.8469
105,LLL,0,0.026,1.06,0.464,1.0798,8.6385,0.7739
106,LLL,0,0.03,1.06,0.4846,1.0419,8.3349,0.763
107,LLL,0,0.034,1.06,0.487,1.0369,8.2949,0.7703
108,LLL,0,0.038,1.06,0.4894,1.032,8.2557,0.7776
109,LLL,0,0.042,1.06,0.4917,1.0271,8.2172,0.7849
110,LLL,0,0.046,1.06,0.494,1.0224,8.1794,0.7923
111,LLL,0,0.01,1.06,0.4448,1.1171,8.9366,0.8544
112,LLL,0,0.014,1.06,0.4478,1.1111,8.8889,0.8611
113,LLL,0,0.018,1.06,0.4691,1.0718,8.5742,0.7695
114,LLL,0,0.022,1.06,0.4717,1.0664,8.5308,0.7765
115,LLL,0,0.026,1.06,0.4744,1.061,8.4883,0.7836
116,LLL,0,0.03,1.06,0.4769,1.0558,8.4465,0.7907
117,LLL,0,0.034,1.06,0.4794,1.0507,8.4055,0.7979
118,LLL,0,0.038,1.06,0.4818,1.0457,8.3653,0.8051
119,LLL,0,0.042,1.06,0.4842,1.0407,8.3258,0.8124
120,LLL,1,0.01,1.045,0.454,1.0732,8.7463,0.7702
121,LLL,1,0.014,1.045,0.4567,1.0676,8.7012,0.7772
122,LLL,1,0.018,1.045,0.4593,1.0622,8.6569,0.7842
123,LLL,1,0.022,1.045,0.462,1.0569,8.6135,0.7913
124,LLL,1,0.026,1.045,0.4645,1.0516,8.5709,0.7984
125,LLL,1,0.03,1.045,0.467,1.0465,8.5291,0.8056
126,LLL,1,0.034,1.045,0.4695,1.0415,8.488,0.8128
127,LLL,1,0.038,1.045,0.4894,1.0046,8.1872,0.8025
128,LLL,1,0.042,1.045,0.4916,1.0,8.15,0.73
129,LLL,1,0.046,1.045,0.4938,0.9955,8.1135,0.7375
130,LLL,1,0.01,1.045,0.4459,1.0878,8.8656,0.7983
131,LLL,1,0.014,1.045,0.4487,1.0821,8.8193,0.8052
132,LLL,1,0.018,1.045,0.4515,1.0766,8.7739,0.8121
133,LLL,1,0.022,1.045,0.4541,1.0711,8.7294,0.8191
134,LLL,1,0.026,1.045,0.4748,1.0329,8.4178,0.8081
135,LLL,1,0.03,1.045,0.4773,1.0279,8.3774,0.8153
136,LLL,1,0.034,1.045,0.4796,1.023,8.3378,0.7427
137,LLL,1,0.038,1.045,0.4819,1.0183,8.2989,0.75
138,LLL,1,0.042,1.045,0.4842,1.0136,8.2606,0.7575
139,LLL,1,0.046,1.045,0.4864,1.009,8.2231,0.7649
140,LLL,1,0.01,1.045,0.4379,1.1024,8.9849,0.8263
141,LLL,1,0.014,1.045,0.4593,1.0628,8.6618,0.8145
142,LLL,1,0.018,1.045,0.462,1.0574,8.6179,0.8216
143,LLL,1,0.022,1.045,0.4646,1.0521,8.5749,0.8287
144,LLL,1,0.026,1.045,0.4671,1.0469,8.5326,0.7558
145,LLL,1,0.03,1.045,0.4696,1.0419,8.4912,0.763
146,LLL,1,0.034,1.045,0.472,1.0369,8.4505,0.7703
147,LLL,1,0.038,1.045,0.4744,1.032,8.4105,0.7776
148,LLL,1,0.042,1.045,0.4941,0.9955,8.1131,0.7675
149,LLL,1,0.046,1.045,0.4963,0.991,8.0769,0.7751
150,LLL,1,0.01,1.045,0.4486,1.0829,8.8259,0.8356
151,LLL,1,0.014,1.045,0.4514,1.0773,8.78,0.8425
152,LLL,1,0.018,1.045,0.4541,1.0718,8.7349,0.7695
153,LLL,1,0.022,1.045,0.4567,1.0664,8.6908,0.7765
154,LLL,1,0.026,1.045,0.4594,1.061,8.6474,0.7836
155,LLL,1,0.03,1.045,0.4798,1.0233,8.3395,0.7728
156,LLL,1,0.034,1.045,0.4821,1.0184,8.3002,0.7801
157,LLL,1,0.038,1.045,0.4844,1.0137,8.2616,0.7875
158,LLL,1,0.042,1.045,0.4867,1.009,8.2238,0.795
159,LLL,1,0.046,1.045,0.4889,1.0045,8.1865,0.8025
160,LLL,1,0.01,1.045,0.4405,1.0976,8.9451,0.7837
161,LLL,1,0.014,1.045,0.4434,1.0918,8.8981,0.7905
162,LLL,1,0.018,1.045,0.4646,1.0526,8.5789,0.7789
163,LLL,1,0.022,1.045,0.4672,1.0474,8.5363,0.7861
164,LLL,1,0.026,1.045,0.4697,1.0423,8.4944,0.7932
165,LLL,1,0.03,1.045,0.4721,1.0372,8.4533,0.8005
166,LLL,1,0.034,1.045,0.4745,1.0323,8.4129,0.8077
167,LLL,1,0.038,1.045,0.4769,1.0274,8.3733,0.8151
168,LLL,1,0.042,1.045,0.4792,1.0226,8.3344,0.7424
169,LLL,1,0.046,1.045,0.4987,0.9865,8.0404,0.7326
170,LLL,1,0.01,1.045,0.4513,1.078,8.7861,0.7929
171,LLL,1,0.014,1.045,0.454,1.0725,8.7406,0.7999
172,LLL,1,0.018,1.045,0.4567,1.067,8.6959,0.8068
173,LLL,1,0.022,1.045,0.4594,1.0616,8.6521,0.8139
174,LLL,1,0.026,1.045,0.4619,1.0563,8.6092,0.821
175,LLL,1,0.03,1.045,0.4645,1.0512,8.567,0.8281
176,LLL,1,0.034,1.045,0.4847,1.0138,8.2627,0.7376
177,LLL,1,0.038,1.045,0.4869,1.0091,8.2244,0.745
178,LLL,1,0.042,1.045,0.4892,1.0045,8.1869,0.7525
179,LLL,1,0.046,1.045,0.4913,1.0,8.15,0.76
180,LLL,1,0.01,1.045,0.4432,1.0927,8.9054,0.821
181,LLL,1,0.014,1.045,0.4461,1.087,8.8587,0.8278
182,LLL,1,0.018,1.045,0.4488,1.0813,8.8129,0.8347
183,LLL,1,0.022,1.045,0.4698,1.0427,8.4976,0.8235
184,LLL,1,0.026,1.045,0.4723,1.0376,8.4561,0.7507
185,LLL,1,0.03,1.045,0.4747,1.0326,8.4153,0.7579
186,LLL,1,0.034,1.045,0.4771,1.0276,8.3753,0.7652
187,LLL,1,0.038,1.045,0.4794,1.0228,8.3361,0.7726
188,LLL,1,0.042,1.045,0.4817,1.0181,8.2975,0.78
189,LLL,1,0.046,1.045,0.4839,1.0135,8.2596,0.7874
190,LLL,1,0.01,1.045,0.454,1.0732,8.7463,0.8302
191,LLL,1,0.014,1.045,0.4567,1.0676,8.7012,0.8372
192,LLL,1,0.018,1.045,0.4593,1.0622,8.6569,0.7642
193,LLL,1,0.022,1.045,0.462,1.0569,8.6135,0.7713
194,LLL,1,0.026,1.045,0.4645,1.0516,8.5709,0.7784
195,LLL,1,0.03,1.045,0.467,1.0465,8.5291,0.7856
196,LLL,1,0.034,1.045,0.4695,1.0415,8.488,0.7928
197,LLL,1,0.038,1.045,0.4894,1.0046,8.1872,0.7825
198,LLL,1,0.042,1.045,0.4916,1.0,8.15,0.79
199,LLL,1,0.046,1.045,0.4938,0.9955,8.1135,0.7975
200,LLL,1,0.01,1.045,0.4459,1.0878,8.8656,0.7783
201,LLL,1,0.014,1.045,0.4487,1.0821,8.8193,0.7852
202,LLL,1,0.018,1.045,0.4515,1.0766,8.7739,0.7921
203,LLL,1,0.022,1.045,0.4541,1.0711,8.7294,0.7991
204,LLL,1,0.026,1.045,0.4748,1.0329,8.4178,0.7881
205,LLL,1,0.03,1.045,0.4773,1.0279,8.3774,0.7953
206,LLL,1,0.034,1.045,0.4796,1.023,8.3378,0.8027
207,LLL,1,0.038,1.045,0.4819,1.0183,8.2989,0.81
208,LLL,1,0.042,1.045,0.4842,1.0136,8.2606,0.7375
209,LLL,1,0.046,1.045,0.4864,1.009,8.2231,0.7449
210,LLL,1,0.01,1.045,0.4379,1.1024,8.9849,0.8063
211,LLL,1,0.014,1.045,0.4593,1.0628,8.6618,0.7945
212,LLL,1,0.018,1.045,0.462,1.0574,8.6179,0.8016
213,LLL,1,0.022,1.045,0.4646,1.0521,8.5749,0.8087
214,LLL,1,0.026,1.045,0.4671,1.0469,8.5326,0.8158
215,LLL,1,0.03,1.045,0.4696,1.0419,8.4912,0.823
216,LLL,1,0.034,1.045,0.472,1.0369,8.4505,0.7503
217,LLL,1,0.038,1.045,0.4744,1.032,8.4105,0.7576
218,LLL,1,0.042,1.045,0.4941,0.9955,8.1131,0.7475
219,LLL,1,0.046,1.045,0.4963,0.991,8.0769,0.7551
220,LLL,1,0.01,1.045,0.4486,1.0829,8.8259,0.8156
221,LLL,1,0.014,1.045,0.4514,1.0773,8.78,0.8225
222,LLL,1,0.018,1.045,0.4541,1.0718,8.7349,0.8295
223,LLL,1,0.022,1.045,0.4567,1.0664,8.6908,0.8365
224,LLL,1,0.026,1.045,0.4594,1.061,8.6474,0.7636
225,LLL,1,0.03,1.045,0.4798,1.0233,8.3395,0.7528
226,LLL,1,0.034,1.045,0.4821,1.0184,8.3002,0.7601
227,LLL,1,0.038,1.045,0.4844,1.0137,8.2616,0.7675
228,LLL,1,0.042,1.045,0.4867,1.009,8.2238,0.775
229,LLL,1,0.046,1.045,0.4889,1.0045,8.1865,0.7825
230,LLL,1,0.01,1.045,0.4405,1.0976,8.9451,0.8437
231,LLL,1,0.014,1.045,0.4434,1.0918,8.8981,0.8505
232,LLL,1,0.018,1.045,0.4646,1.0526,8.5789,0.7589
233,LLL,1,0.022,1.045,0.4672,1.0474,8.5363,0.7661
234,LLL,1,0.026,1.045,0.4697,1.0423,8.4944,0.7732
235,LLL,1,0.03,1.045,0.4721,1.0372,8.4533,0.7805
236,LLL,1,0.034,1.045,0.4745,1.0323,8.4129,0.7877
237,LLL,1,0.038,1.045,0.4769,1.0274,8.3733,0.7951
238,LLL,1,0.042,1.045,0.4792,1.0226,8.3344,0.8024
239,LLL,2,0.01,1.01,0.4297,1.0537,8.7454,0.7595
240,LLL,2,0.014,1.01,0.4323,1.0483,8.701,0.7666
241,LLL,2,0.018,1.01,0.4349,1.0431,8.6574,0.7737
242,LLL,2,0.022,1.01,0.4374,1.0379,8.6147,0.7809
243,LLL,2,0.026,1.01,0.4398,1.0329,8.5728,0.7881
244,LLL,2,0.03,1.01,0.4423,1.0279,8.5316,0.7953
245,LLL,2,0.034,1.01,0.4446,1.023,8.4912,0.8027
246,LLL,2,0.038,1.01,0.4645,0.9863,8.1863,0.7925
247,LLL,2,0.042,1.01,0.4666,0.9819,8.1498,0.72
248,LLL,2,0.046,1.01,0.4687,0.9776,8.1139,0.7277
249,LLL,2,0.01,1.01,0.4216,1.0683,8.8668,0.7876
250,LLL,2,0.014,1.01,0.4243,1.0628,8.8213,0.7945
251,LLL,2,0.018,1.01,0.427,1.0574,8.7766,0.8016
252,LLL,2,0.022,1.01,0.4296,1.0521,8.7327,0.8087
253,LLL,2,0.026,1.01,0.4502,1.0141,8.4169,0.7977
254,LLL,2,0.03,1.01,0.4525,1.0093,8.3772,0.8051
255,LLL,2,0.034,1.01,0.4547,1.0046,8.3382,0.7325
256,LLL,2,0.038,1.01,0.457,1.0,8.3,0.74
257,LLL,2,0.042,1.01,0.4591,0.9955,8.2624,0.7475
258,LLL,2,0.046,1.01,0.4613,0.991,8.2256,0.7551
259,LLL,2,0.01,1.01,0.4136,1.0829,8.9883,0.8156
260,LLL,2,0.014,1.01,0.435,1.0435,8.6609,0.8039
261,LLL,2,0.018,1.01,0.4375,1.0383,8.6177,0.8111
262,LLL,2,0.022,1.01,0.44,1.0332,8.5754,0.8182
263,LLL,2,0.026,1.01,0.4424,1.0282,8.5338,0.7455
264,LLL,2,0.03,1.01,0.4448,1.0233,8.493,0.7528
265,LLL,2,0.034,1.01,0.4471,1.0184,8.453,0.7601
266,LLL,2,0.038,1.01,0.4494,1.0137,8.4137,0.7675
267,LLL,2,0.042,1.01,0.4691,0.9774,8.1122,0.7576
268,LLL,2,0.046,1.01,0.4711,0.9731,8.0767,0.7652
269,LLL,2,0.01,1.01,0.4243,1.0634,8.8263,0.8249
270,LLL,2,0.014,1.01,0.427,1.058,8.7812,0.8319
271,LLL,2,0.018,1.01,0.4296,1.0526,8.7368,0.7589
272,LLL,2,0.022,1.01,0.4322,1.0474,8.6934,0.7661
273,LLL,2,0.026,1.01,0.4347,1.0423,8.6507,0.7732
274,LLL,2,0.03,1.01,0.455,1.0047,8.3386,0.7626
275,LLL,2,0.034,1.01,0.4573,1.0,8.3,0.77
276,LLL,2,0.038,1.01,0.4595,0.9954,8.2621,0.7775
277,LLL,2,0.042,1.01,0.4616,0.991,8.2249,0.785
278,LLL,2,0.046,1.01,0.4637,0.9865,8.1883,0.7926
279,LLL,2,0.01,1.01,0.4163,1.078,8.9478,0.7729
280,LLL,2,0.014,1.01,0.419,1.0725,8.9014,0.7799
281,LLL,2,0.018,1.01,0.4401,1.0335,8.578,0.7684
282,LLL,2,0.022,1.01,0.4426,1.0284,8.536,0.7756
283,LLL,2,0.026,1.01,0.445,1.0235,8.4948,0.7829
284,LLL,2,0.03,1.01,0.4474,1.0186,8.4544,0.7902
285,LLL,2,0.034,1.01,0.4497,1.0138,8.4147,0.7976
286,LLL,2,0.038,1.01,0.4519,1.0091,8.3758,0.805
287,LLL,2,0.042,1.01,0.4542,1.0045,8.3376,0.7325
288,LLL,2,0.046,1.01,0.4736,0.9686,8.0395,0.7227
289,LLL,2,0.01,1.01,0.427,1.0585,8.7859,0.7822
290,LLL,2,0.014,1.01,0.4297,1.0531,8.7411,0.7892
291,LLL,2,0.018,1.01,0.4322,1.0478,8.6971,0.7963
292,LLL,2,0.022,1.01,0.4348,1.0427,8.654,0.8035
293,LLL,2,0.026,1.01,0.4373,1.0376,8.6117,0.8107
294,LLL,2,0.03,1.01,0.4397,1.0326,8.5702,0.8179
295,LLL,2,0.034,1.01,0.4598,0.9954,8.2618,0.7275
296,LLL,2,0.038,1.01,0.462,0.9909,8.2242,0.735
297,LLL,2,0.042,1.01,0.4641,0.9864,8.1873,0.7425
298,LLL,2,0.046,1.01,0.4662,0.9821,8.1511,0.7501
299,LLL,2,0.01,1.01,0.419,1.0732,8.9073,0.8102
300,LLL,2,0.014,1.01,0.4217,1.0676,8.8614,0.8172
301,LLL,2,0.018,1.01,0.4243,1.0622,8.8163,0.8242
302,LLL,2,0.022,1.01,0.4452,1.0237,8.4967,0.813
303,LLL,2,0.026,1.01,0.4476,1.0188,8.4559,0.7403
304,LLL,2,0.03,1.01,0.4499,1.014,8.4158,0.7477
305,LLL,2,0.034,1.01,0.4522,1.0092,8.3765,0.7551
306,LLL,2,0.038,1.01,0.4544,1.0046,8.3379,0.7625
307,LLL,2,0.042,1.01,0.4566,1.0,8.3,0.77
308,LLL,2,0.046,1.01,0.4588,0.9955,8.2628,0.7775
309,LLL,2,0.01,1.01,0.4297,1.0537,8.7454,0.8195
310,LLL,2,0.014,1.01,0.4323,1.0483,8.701,0.8266
311,LLL,2,0.018,1.01,0.4349,1.0431,8.6574,0.7537
312,LLL,2,0.022,1.01,0.4374,1.0379,8.6147,0.7609
313,LLL,2,0.026,1.01,0.4398,1.0329,8.5728,0.7681
314,LLL,2,0.03,1.01,0.4423,1.0279,8.5316,0.7753
315,LLL,2,0.034,1.01,0.4446,1.023,8.4912,0.7827
316,LLL,2,0.038,1.01,0.4645,0.9863,8.1863,0.7725
317,LLL,2,0.042,1.01,0.4666,0.9819,8.1498,0.78
318,LLL,2,0.046,1.01,0.4687,0.9776,8.1139,0.7877
319,LLL,2,0.01,1.01,0.4216,1.0683,8.8668,0.7676
320,LLL,2,0.014,1.01,0.4243,1.0628,8.8213,0.7745
321,LLL,2,0.018,1.01,0.427,1.0574,8.7766,0.7816
322,LLL,2,0.022,1.01,0.4296,1.0521,8.7327,0.7887
323,LLL,2,0.026,1.01,0.4502,1.0141,8.4169,0.7777
324,LLL,2,0.03,1.01,0.4525,1.0093,8.3772,0.7851
325,LLL,2,0.034,1.01,0.4547,1.0046,8.3382,0.7925
326,LLL,2,0.038,1.01,0.457,1.0,8.3,0.8
327,LLL,2,0.042,1.01,0.4591,0.9955,8.2624,0.7275
328,LLL,2,0.046,1.01,0.4613,0.991,8.2256,0.7351
329,LLL,2,0.01,1.01,0.4136,1.0829,8.9883,0.7956
330,LLL,2,0.014,1.01,0.435,1.0435,8.6609,0.7839
331,LLL,2,0.018,1.01,0.4375,1.0383,8.6177,0.7911
332,LLL,2,0.022,1.01,0.44,1.0332,8.5754,0.7982
333,LLL,2,0.026,1.01,0.4424,1.0282,8.5338,0.8055
334,LLL,2,0.03,1.01,0.4448,1.0233,8.493,0.8128
335,LLL,2,0.034,1.01,0.4471,1.0184,8.453,0.7401
336,LLL,2,0.038,1.01,0.4494,1.0137,8.4137,0.7475
337,LLL,2,0.042,1.01,0.4691,0.9774,8.1122,0.7376
338,LLL,2,0.046,1.01,0.4711,0.9731,8.0767,0.7452
339,LLL,2,0.01,1.01,0.4243,1.0634,8.8263,0.8049
340,LLL,2,0.014,1.01,0.427,1.058,8.7812,0.8119
341,LLL,2,0.018,1.01,0.4296,1.0526,8.7368,0.8189
342,LLL,2,0.022,1.01,0.4322,1.0474,8.6934,0.8261
343,LLL,2,0.026,1.01,0.4347,1.0423,8.6507,0.7532
344,LLL,2,0.03,1.01,0.455,1.0047,8.3386,0.7426
345,LLL,2,0.034,1.01,0.4573,1.0,8.3,0.75
346,LLL,2,0.038,1.01,0.4595,0.9954,8.2621,0.7575
347,LLL,2,0.042,1.01,0.4616,0.991,8.2249,0.765
348,LLL,2,0.046,1.01,0.4637,0.9865,8.1883,0.7726
349,LLL,2,0.01,1.01,0.4163,1.078,8.9478,0.8329
350,LLL,2,0.014,1.01,0.419,1.0725,8.9014,0.8399
351,LLL,2,0.018,1.01,0.4401,1.0335,8.578,0.7484
352,LLL,2,0.022,1.01,0.4426,1.0284,8.536,0.7556
353,LLL,2,0.026,1.01,0.445,1.0235,8.4948,0.7629
354,LLL,2,0.03,1.01,0.4474,1.0186,8.4544,0.7702
355,LLL,2,0.034,1.01,0.4497,1.0138,8.4147,0.7776
356,LLL,2,0.038,1.01,0.4519,1.0091,8.3758,0.785
357,LLL,2,0.042,1.01,0.4542,1.0045,8.3376,0.7925
358,LLL,3,0.01,1.0177,0.4481,1.0341,8.7385,0.7488
359,LLL,3,0.014,1.0177,0.4506,1.029,8.6949,0.7559
360,LLL,3,0.018,1.0177,0.4531,1.0239,8.6522,0.7632
361,LLL,3,0.022,1.0177,0.4555,1.019,8.6102,0.7704
362,LLL,3,0.026,1.0177,0.4578,1.0141,8.569,0.7777
363,LLL,3,0.03,1.0177,0.4602,1.0093,8.5286,0.7851
364,LLL,3,0.034,1.0177,0.4624,1.0046,8.4889,0.7925
365,LLL,3,0.038,1.0177,0.4822,0.968,8.1799,0.7824
366,LLL,3,0.042,1.0177,0.4842,0.9638,8.1441,0.7101
367,LLL,3,0.046,1.0177,0.4862,0.9596,8.109,0.7178
368,LLL,3,0.01,1.0177,0.44,1.0488,8.8622,0.7768
369,LLL,3,0.014,1.0177,0.4426,1.0435,8.8174,0.7839
370,LLL,3,0.018,1.0177,0.4452,1.0383,8.7734,0.7911
371,LLL,3,0.022,1.0177,0.4477,1.0332,8.7303,0.7982
372,LLL,3,0.026,1.0177,0.4682,0.9953,8.4103,0.7874
373,LLL,3,0.03,1.0177,0.4704,0.9907,8.3714,0.7949
374,LLL,3,0.034,1.0177,0.4726,0.9862,8.3332,0.7224
375,LLL,3,0.038,1.0177,0.4747,0.9817,8.2957,0.73
376,LLL,3,0.042,1.0177,0.4768,0.9774,8.2588,0.7376
377,LLL,3,0.046,1.0177,0.4788,0.9731,8.2226,0.7452
378,LLL,3,0.01,1.0177,0.432,1.0634,8.9859,0.8049
379,LLL,3,0.014,1.0177,0.4533,1.0242,8.6541,0.7933
380,LLL,3,0.018,1.0177,0.4557,1.0191,8.6117,0.8005
381,LLL,3,0.022,1.0177,0.4581,1.0142,8.5701,0.8078
382,LLL,3,0.026,1.0177,0.4604,1.0094,8.5293,0.7352
383,LLL,3,0.03,1.0177,0.4627,1.0047,8.4893,0.7426
384,LLL,3,0.034,1.0177,0.465,1.0,8.45,0.75
385,LLL,3,0.038,1.0177,0.4671,0.9954,8.4114,0.7575
386,LLL,3,0.042,1.0177,0.4867,0.9593,8.1059,0.7476
387,LLL,3,0.046,1.0177,0.4887,0.9552,8.0711,0.7553
388,LLL,3,0.01,1.0177,0.4427,1.0439,8.821,0.8141
