row_id,fault_type,fault_bus,fault_impedance_ohm,pre_fault_voltage_pu,fault_voltage_pu,fault_current_pu,fault_current_ka,Ia_ka,Ib_ka,Ic_ka,I1_ka,I2_ka,I0_ka,Va_pu,Vb_pu,Vc_pu,loading_pu
27,LLL,0,0.395,1.06,0.0422,21.2953,9.1073,9.1073,2.3629,8.6119,6.6933,2.099,2.2414,0.0422,0.0488,0.0424,0.0
28,LLL,0,0.8083,1.06,0.0923,20.7252,8.8635,8.7111,8.7477,8.8635,8.7471,0.5432,0.4273,0.0923,0.0983,0.1025,0.0
29,LLL,0,0.1667,1.06,0.0109,22.761,9.7341,9.7341,9.0707,8.8785,9.0671,0.9178,1.4942,0.0125,0.0196,0.0109,0.0
30,LLL,0,0.0706,1.06,0.0066,24.0761,10.2965,8.1801,10.2965,8.6309,9.029,0.8505,0.4792,0.0066,0.0129,0.0083,0.0
31,LLL,0,7.4714,1.06,0.602,17.3393,7.4154,7.1973,6.3487,7.4154,6.9795,0.5573,0.0893,0.602,0.6163,0.6395,0.0
32,LLL,0,0.7326,1.06,0.0806,20.411,8.7291,8.7291,7.4659,7.7527,7.9419,0.8139,0.5277,0.0893,0.0806,0.0827,0.0
33,LLL,0,0.4466,1.06,0.047,21.1941,9.064,8.8773,9.064,7.892,8.4512,0.8572,1.5026,0.0481,0.058,0.047,0.0
34,LLL,0,0.1095,1.06,0.0152,20.8949,8.9361,8.9361,8.6866,7.0,8.1689,0.4869,1.0657,0.0163,0.0152,0.0216,0.0
35,LLL,0,0.4735,1.06,0.0467,21.9391,9.3826,9.3826,8.8755,8.5627,8.7749,1.1378,1.3227,0.0467,0.0656,0.0528,0.0
36,LLL,0,0.3786,1.06,0.0433,23.1475,9.8994,9.8994,9.0826,9.8003,9.5601,0.3494,0.8133,0.0433,0.051,0.0436,0.0
37,LLL,0,0.0173,1.06,0.0108,23.6087,10.0967,8.8474,10.0967,8.7936,9.2447,0.4772,0.3954,0.0128,0.0108,0.0135,0.0
38,LLL,0,3.0206,1.06,0.3129,19.2288,8.2235,8.2235,8.0853,7.9943,8.1008,0.1081,0.0263,0.3129,0.3312,0.3201,0.0
39,LLL,0,0.3181,1.06,0.0299,22.8859,9.7875,8.9494,7.7308,9.7875,8.8152,0.6215,0.6762,0.0315,0.0299,0.0386,0.0
40,LLL,0,1.0272,1.06,0.1184,21.7803,9.3147,8.7599,8.4408,9.3147,8.8318,0.0367,0.4964,0.1214,0.1273,0.1184,0.0
41,LLL,1,0.3388,1.045,0.0398,23.0241,9.8466,9.8466,9.3799,9.6934,9.6368,0.292,0.1157,0.0399,0.0398,0.0536,0.217
42,LLL,1,0.7429,1.045,0.0938,25.2731,10.8085,10.8085,10.4276,10.7874,10.6633,0.4493,0.2604,0.1008,0.1041,0.0938,0.217
43,LLL,1,1.0261,1.045,0.1327,20.3959,8.7227,8.7227,8.3787,8.3514,8.4479,0.4174,0.6855,0.1465,0.1368,0.1327,0.217
44,LLL,1,0.0293,1.045,0.0037,25.538,10.9217,10.5887,9.7599,10.9217,10.4034,0.7144,0.3829,0.005,0.0055,0.0037,0.217
45,LLL,1,9.8147,1.045,0.777,16.6746,7.1312,6.0477,7.1312,5.6749,6.2842,0.3959,0.4796,0.8116,0.777,0.7851,0.217
46,LLL,1,0.0086,1.045,0.0003,20.7247,8.8633,8.8633,8.0623,8.6854,8.4975,0.377,0.8057,0.0003,0.0046,0.0083,0.217
47,LLL,1,0.6723,1.045,0.0867,21.9328,9.3799,7.8075,8.1953,9.3799,8.4449,0.3419,0.7758,0.0867,0.0933,0.0902,0.217
48,LLL,1,0.7357,1.045,0.0949,20.8658,8.9236,8.097,1.1156,8.9236,5.9767,2.5235,2.593,0.0971,0.098,0.0949,0.217
49,LLL,1,9.5777,1.045,0.7494,15.8088,6.7609,6.0852,6.7609,6.0283,6.2878,0.1399,0.3702,0.7598,0.7729,0.7494,0.217
50,LLL,1,0.2722,1.045,0.029,20.2748,8.6708,8.6708,8.5374,7.8117,8.2807,0.5954,0.8796,0.0403,0.0395,0.029,0.217
51,LLL,1,0.5761,1.045,0.0751,21.0545,9.0043,8.6668,8.1418,9.0043,8.519,1.0054,0.7593,0.0824,0.0751,0.0792,0.217
52,LLL,1,0.2046,1.045,0.0258,25.4101,10.867,10.6592,10.4064,10.867,10.6283,0.5004,0.3514,0.0322,0.0258,0.0308,0.217
53,LLL,1,0.074,1.045,0.0121,22.737,9.7238,2.3006,9.7238,8.6138,6.8785,2.2227,2.4,0.0121,0.0143,0.0143,0.217
54,LLL,1,0.1961,1.045,0.0155,26.9515,11.5263,10.6277,11.5263,10.16,10.7691,0.4183,0.4409,0.0206,0.0155,0.0259,0.217
55,LLL,1,1.8922,1.045,0.2307,19.6168,8.3895,8.3895,8.3824,7.9906,8.2129,0.6984,0.4762,0.2503,0.2307,0.247,0.217
56,LLL,1,0.1556,1.045,0.0133,23.1161,9.886,9.886,8.7536,9.6365,9.4209,0.5385,0.1714,0.0176,0.0181,0.0133,0.217
57,LLL,1,0.5774,1.045,0.0655,23.633,10.1071,9.1972,10.1071,9.0255,9.3495,0.596,1.2774,0.0792,0.0738,0.0655,0.217
58,LLL,1,0.1323,1.045,0.0132,25.6044,10.9502,10.9502,10.9023,10.009,10.5831,0.8857,0.4426,0.0195,0.0132,0.0237,0.217
59,LLL,1,0.4097,1.045,0.0524,25.0117,10.6967,8.5984,10.6967,8.1734,9.0546,1.5041,0.897,0.0524,0.0555,0.0546,0.217
60,LLL,1,0.6838,1.045,0.0878,27.1082,11.5933,11.5933,9.5169,10.4446,10.5047,0.4636,0.89,0.0904,0.0999,0.0878,0.217
61,LLL,1,11.3065,1.045,0.8346,13.7182,5.8668,5.8668,5.1182,5.5672,5.5047,0.481,0.054,0.8346,0.8538,0.8751,0.217
62,LLL,1,7.5203,1.045,0.668,17.1176,7.3206,6.9053,6.7527,7.3206,6.9921,0.2131,0.1509,0.697,0.7167,0.668,0.217
63,LLL,1,0.1674,1.045,0.0159,22.6276,9.6771,9.6771,9.1619,9.0715,9.1389,0.9554,1.4814,0.0159,0.019,0.03,0.217
64,LLL,1,0.1153,1.045,0.0153,25.0395,10.7086,10.7086,10.0215,8.7469,9.8061,0.4218,0.9311,0.0176,0.0175,0.0153,0.217
65,LLL,1,1.0708,1.045,0.1393,22.245,9.5134,7.403,8.9647,9.5134,8.5649,0.5732,1.2408,0.1414,0.1393,0.1421,0.217
66,LLL,1,0.4167,1.045,0.0562,21.9326,9.3799,9.1018,9.3799,8.4121,8.9328,0.6278,0.5836,0.0564,0.0562,0.058,0.217
67,LLL,1,0.0973,1.045,0.011,20.1665,8.6245,8.6245,8.2198,7.0528,7.8267,0.9377,1.3264,0.0151,0.011,0.0162,0.217
68,LLL,1,0.1866,1.045,0.0165,22.3414,9.5547,9.204,8.4991,9.5547,9.0156,1.0783,0.5503,0.02,0.0165,0.0208,0.217
69,LLL,1,0.1636,1.045,0.0242,20.9289,8.9506,8.0294,8.3054,8.9506,8.2703,1.0903,1.2658,0.025,0.0242,0.0287,0.217
70,LLL,1,0.1799,1.045,0.0179,25.8255,11.0447,10.0085,11.0447,10.1157,10.3868,0.3777,0.3641,0.022,0.0266,0.0179,0.217
71,LLL,1,8.6824,1.045,0.7302,16.8559,7.2087,6.0291,7.2087,6.9254,6.6958,0.7608,0.1144,0.7563,0.7371,0.7302,0.217
72,LLL,1,0.4872,1.045,0.0604,19.7137,8.4309,8.4309,8.1703,8.2918,8.2729,0.4123,0.5008,0.0604,0.0622,0.0624,0.217
73,LLL,1,6.2378,1.045,0.6066,19.4345,8.3115,8.0946,8.3115,7.2896,7.8928,0.4402,0.302,0.6141,0.6438,0.6066,0.217
74,LLL,1,0.1285,1.045,0.0083,22.5433,9.641,9.4237,9.641,7.2249,8.5453,1.1188,1.9264,0.0083,0.0143,0.0218,0.217
75,LLL,1,0.0038,1.045,0.0117,20.7816,8.8876,7.903,8.6752,8.8876,8.4792,0.3398,0.472,0.0129,0.0117,0.0123,0.217
76,LLL,1,0.2872,1.045,0.0328,22.6402,9.6825,9.3966,9.2858,9.6825,9.3501,0.8829,1.1042,0.0368,0.0372,0.0328,0.217
77,LLL,1,17.9757,1.045,0.9252,9.5317,4.0764,4.0764,4.0452,4.0118,4.0271,0.2736,0.2561,0.9252,0.9705,0.9308,0.217
78,LLL,1,0.0885,1.045,0.0076,25.1015,10.7351,9.8517,10.7351,10.6014,10.3776,0.4357,0.5874,0.0087,0.0076,0.0094,0.217
79,LLL,1,0.3651,1.045,0.0345,22.3443,9.5559,9.4838,8.7583,9.5559,9.2586,0.0144,0.5164,0.0345,0.0514,0.0496,0.217
80,LLL,1,0.4789,1.045,0.0674,25.0974,10.7333,10.6804,10.7333,10.6668,10.6913,0.1337,0.175,0.0685,0.0678,0.0674,0.217
81,LLL,2,0.3089,1.01,0.0305,13.9541,5.9677,5.9677,5.8122,5.3959,5.7064,0.327,0.4081,0.0315,0.0305,0.0305,0.942
82,LLL,2,12.5616,1.01,0.6607,10.2792,4.3961,4.3961,3.8591,4.2333,4.1605,0.1894,0.1847,0.6607,0.6685,0.6674,0.942
83,LLL,2,0.2768,1.01,0.0213,13.9938,5.9847,5.8024,5.9787,5.9847,5.9219,0.0396,0.08,0.0279,0.0263,0.0213,0.942
84,LLL,2,0.9708,1.01,0.0721,14.7751,6.3188,6.3188,6.2954,5.8655,6.1599,0.1678,0.1271,0.0738,0.0721,0.0778,0.942
85,LLL,2,0.8977,1.01,0.0633,13.2839,5.6811,5.3424,5.6811,5.541,5.5195,0.1971,0.0448,0.0679,0.0734,0.0633,0.942
86,LLL,2,0.2786,1.01,0.0177,15.0302,6.4279,6.4279,6.1615,6.2614,6.2798,0.2049,0.1344,0.0262,0.0177,0.0259,0.942
87,LLL,2,0.2213,1.01,0.0158,15.5191,6.637,6.4477,6.2838,6.637,6.4539,0.2095,0.0766,0.0212,0.0204,0.0158,0.942
88,LLL,2,1.6559,1.01,0.1274,14.2875,6.1103,5.3183,6.1103,5.9922,5.7805,0.4528,0.4723,0.1285,0.1274,0.1305,0.942
89,LLL,2,0.459,1.01,0.0398,14.7941,6.3269,6.3269,5.4812,6.1152,5.9735,0.3209,0.1932,0.0398,0.0421,0.0401,0.942
90,LLL,2,6.6205,1.01,0.434,11.8035,5.048,4.938,5.048,4.7858,4.9186,0.0883,0.2369,0.4378,0.434,0.4466,0.942
91,LLL,2,6.5299,1.01,0.441,12.3136,5.2661,5.2661,5.1692,5.244,5.2233,0.1302,0.1322,0.441,0.4415,0.4492,0.942
92,LLL,2,0.0281,1.01,0.0054,15.9643,6.8274,6.5509,6.8274,5.8958,6.4159,0.1807,0.4818,0.0066,0.0054,0.0081,0.942
93,LLL,2,0.5212,1.01,0.0379,14.8262,6.3407,6.2378,6.3407,6.247,6.2702,0.1776,0.1812,0.046,0.0379,0.0439,0.942
94,LLL,2,0.2158,1.01,0.0138,16.3346,6.9858,6.2568,6.6998,6.9858,6.6277,0.5733,0.1529,0.021,0.0138,0.0154,0.942
95,LLL,2,0.2896,1.01,0.0244,14.0633,6.0144,0.3571,6.0144,5.9409,4.1041,1.8852,1.8621,0.031,0.0283,0.0244,0.942
96,LLL,2,0.009,1.01,0.0017,15.4198,6.5945,6.077,6.5945,6.5192,6.3874,0.109,0.4019,0.0056,0.0017,0.0097,0.942
97,LLL,2,0.6765,1.01,0.0497,14.6553,6.2676,5.9663,6.2676,5.9051,6.0421,0.2063,0.1848,0.0506,0.054,0.0497,0.942
98,LLL,2,0.1639,1.01,0.0117,14.5827,6.2366,6.2366,5.3704,6.086,5.8856,0.2391,0.4772,0.0163,0.0184,0.0117,0.942
99,LLL,2,4.8995,1.01,0.3433,13.7255,5.87,5.87,5.6378,5.309,5.6019,0.025,0.3059,0.3502,0.3486,0.3433,0.942
100,LLL,2,0.1692,1.01,0.0119,16.0391,6.8594,6.461,6.8594,6.7258,6.6556,0.4785,0.389,0.0119,0.0143,0.0194,0.942
101,LLL,2,0.3832,1.01,0.0313,14.5899,6.2396,6.2396,6.0694,6.0027,6.1021,0.1511,0.0958,0.0399,0.0318,0.0313,0.942
102,LLL,2,0.239,1.01,0.0195,14.4401,6.1755,5.6064,6.1755,5.9358,5.9045,0.2299,0.1352,0.0245,0.0195,0.0224,0.942
103,LLL,2,0.1066,1.01,0.0053,14.2447,6.092,5.918,6.092,6.024,6.0103,0.0963,0.0927,0.0053,0.014,0.007,0.942
104,LLL,2,0.896,1.01,0.0667,14.5861,6.238,6.238,6.2284,6.1485,6.2001,0.1904,0.1587,0.0669,0.0667,0.0738,0.942
105,LLL,2,0.3483,1.01,0.026,15.1516,6.4799,6.4799,5.7901,6.3843,6.2045,0.2527,0.4444,0.0292,0.035,0.026,0.942
106,LLL,2,0.9382,1.01,0.0722,14.8923,6.3689,5.6757,6.2631,6.3689,6.0985,0.3717,0.0687,0.0722,0.0784,0.073,0.942
107,LLL,2,0.3172,1.01,0.0271,14.1939,6.0703,6.0703,5.9474,5.886,5.9533,0.3295,0.2663,0.0271,0.0346,0.0311,0.942
108,LLL,2,13.2285,1.01,0.6882,10.4993,4.4902,4.4902,4.3759,4.2077,4.3524,0.2366,0.0769,0.6994,0.6882,0.7247,0.942
109,LLL,2,0.0337,1.01,0.0048,14.8891,6.3676,5.9802,6.0502,6.3676,6.1196,0.2678,0.3412,0.0048,0.0087,0.0095,0.942
110,LLL,2,1.0179,1.01,0.0709,14.1725,6.0611,5.9108,5.6198,6.0611,5.8608,0.258,0.0541,0.0763,0.0847,0.0709,0.942
111,LLL,2,16.8167,1.01,0.7818,8.3325,3.5635,3.4168,2.7246,3.5635,3.2315,0.3597,0.1638,0.8321,0.7818,0.7959,0.942
112,LLL,2,0.595,1.01,0.0462,15.007,6.418,6.418,5.3094,5.8989,5.8733,0.2301,0.4205,0.0475,0.0476,0.0462,0.942
113,LLL,2,14.2409,1.01,0.7009,9.5294,4.0754,3.9009,3.9282,4.0754,3.9509,0.3179,0.2032,0.7418,0.7305,0.7009,0.942
114,LLL,2,40.0,1.01,0.9467,5.066,2.1666,1.7547,2.1245,2.1666,2.0123,0.2048,0.0625,0.9467,0.9908,1.0035,0.942
115,LLL,2,0.223,1.01,0.0181,14.9256,6.3832,6.3832,6.1048,6.196,6.2274,0.0383,0.137,0.0181,0.0217,0.0189,0.942
116,LLL,2,0.2717,1.01,0.0152,14.4908,6.1972,6.1972,5.9789,5.9478,6.0411,0.112,0.0469,0.0275,0.0169,0.0152,0.942
117,LLL,2,0.0645,1.01,0.0085,13.6723,5.8472,5.6335,5.7637,5.8472,5.7407,0.193,0.2371,0.0108,0.0085,0.0109,0.942
118,LLL,2,1.0671,1.01,0.0745,14.6956,6.2848,6.2435,5.7653,6.2848,6.0953,0.2367,0.174,0.0882,0.0745,0.0877,0.942
119,LLL,2,0.5758,1.01,0.0434,15.3528,6.5659,6.2499,6.5659,5.7257,6.174,0.3812,0.2347,0.0478,0.0574,0.0434,0.942
120,LLL,2,0.1319,1.01,0.005,14.6686,6.2733,6.2733,5.1406,5.9198,5.7778,0.3288,0.3424,0.006,0.0096,0.005,0.942
121,LLL,3,0.2846,1.0177,0.0278,14.1939,6.0702,6.0702,5.1228,5.9271,5.3274,1.5144,1.4374,0.0278,0.0326,0.0344,0.478
122,LLL,3,0.2667,1.0177,0.0214,17.1894,7.3513,7.3513,7.241,6.8657,7.1526,0.1381,0.1584,0.0312,0.0294,0.0214,0.478
123,LLL,3,16.496,1.0177,0.8338,10.9552,4.6852,4.1467,4.6852,4.3022,4.3746,0.2503,0.135,0.8338,0.8952,0.8731,0.478
124,LLL,3,21.6209,1.0177,0.927,8.3779,3.583,3.3303,3.2056,3.583,3.3652,0.2699,0.0659,0.9407,0.9293,0.927,0.478
125,LLL,3,1.5346,1.0177,0.1562,17.2123,7.3611,5.8765,7.3611,6.2521,6.3635,0.8474,1.1791,0.1616,0.173,0.1562,0.478
126,LLL,3,10.8903,1.0177,0.7196,12.5894,5.3841,5.3841,5.3734,4.9364,5.2227,0.2189,0.292,0.7303,0.7586,0.7196,0.478
127,LLL,3,0.3145,1.0177,0.0351,18.4001,7.8691,7.1154,7.8691,7.55,7.4969,0.4882,0.2747,0.0401,0.0351,0.0408,0.478
128,LLL,3,0.1278,1.0177,0.0074,16.5009,7.0569,6.4377,7.0569,6.6463,6.586,0.901,0.9755,0.0074,0.0124,0.0094,0.478
129,LLL,3,0.0875,1.0177,0.0089,21.115,9.0302,8.6351,8.9376,9.0302,8.8665,0.0228,0.22,0.0125,0.0154,0.0089,0.478
130,LLL,3,0.3618,1.0177,0.0396,20.8224,8.905,8.905,7.9424,7.5879,8.1343,0.6887,0.1068,0.0396,0.0405,0.0399,0.478
131,LLL,3,0.0223,1.0177,0.0032,22.5585,9.6475,8.5882,9.6475,2.3872,6.8742,2.2878,2.2408,0.0075,0.0032,0.0044,0.478
132,LLL,3,1.5643,1.0177,0.166,18.6412,7.9722,7.9722,7.294,7.3868,7.5385,0.4624,0.2557,0.166,0.1689,0.1679,0.478
133,LLL,3,0.344,1.0177,0.0415,17.8714,7.643,6.8824,7.643,7.5841,7.2589,0.706,1.1152,0.0415,0.0472,0.0484,0.478
134,LLL,3,3.3924,1.0177,0.3317,16.8924,7.2243,6.9668,7.166,7.2243,7.1115,0.1667,0.3018,0.3317,0.3519,0.3416,0.478
135,LLL,3,0.2653,1.0177,0.0234,21.558,9.2197,9.2197,8.4695,8.7553,8.7645,0.8346,0.5318,0.0234,0.0368,0.0311,0.478
136,LLL,3,15.0593,1.0177,0.8303,11.3322,4.8464,3.9369,4.8464,4.7566,4.5093,0.3849,0.2354,0.8716,0.8303,0.8374,0.478
137,LLL,3,0.4489,1.0177,0.0439,15.4748,6.6181,5.5825,6.6181,5.8917,5.9243,0.9098,0.7961,0.0473,0.0439,0.0526,0.478
138,LLL,3,0.0178,1.0177,0.0027,20.9131,8.9438,7.9539,8.0561,8.9438,8.2421,1.0415,0.6072,0.0032,0.0035,0.0027,0.478
139,LLL,3,0.0626,1.0177,0.0024,15.057,6.4394,6.3671,5.7311,6.4394,6.0295,1.1051,0.8414,0.01,0.0125,0.0024,0.478
140,LLL,3,13.835,1.0177,0.8212,11.0542,4.7275,4.2454,4.5876,4.7275,4.5011,0.2439,0.3924,0.8444,0.8212,0.8506,0.478
141,LLL,3,0.5602,1.0177,0.0577,17.3012,7.3992,7.3992,7.0388,7.2864,7.2298,0.3844,0.2095,0.062,0.0584,0.0577,0.478
142,LLL,3,10.9756,1.0177,0.7525,12.4459,5.3227,5.3227,4.8891,4.938,5.0463,0.1776,0.2057,0.7612,0.7534,0.7525,0.478
143,LLL,3,0.4967,1.0177,0.0539,18.2234,7.7936,7.5501,7.7936,7.2566,7.5086,0.4677,0.4506,0.0539,0.0549,0.0655,0.478
144,LLL,3,0.9343,1.0177,0.0926,15.9082,6.8034,6.6244,0.7457,6.8034,4.6776,1.7261,2.3199,0.0966,0.1124,0.0926,0.478
145,LLL,3,7.265,1.0177,0.6016,15.3501,6.5647,6.4108,6.5647,6.3253,6.4268,0.1438,0.2784,0.6085,0.6016,0.6044,0.478
146,LLL,3,0.6032,1.0177,0.0613,21.0007,8.9813,8.6607,8.9813,7.8861,8.5045,0.4711,0.2695,0.0613,0.0716,0.0674,0.478
147,LLL,3,6.5085,1.0177,0.5408,15.2234,6.5105,5.7469,6.5105,5.1651,5.76,0.8931,0.2364,0.5408,0.5584,0.5633,0.478
148,LLL,3,21.1522,1.0177,0.9617,9.1022,3.8927,3.8927,3.1708,3.04,3.3658,0.2488,0.3041,0.9649,0.9617,0.9668,0.478
149,LLL,3,0.1825,1.0177,0.0128,16.8226,7.1945,6.8883,7.1945,7.0073,6.9314,0.8664,0.8011,0.0191,0.0307,0.0128,0.478
150,LLL,3,0.4197,1.0177,0.042,17.4253,7.4522,6.9398,7.4522,7.4073,7.0302,1.506,1.0782,0.0498,0.042,0.0483,0.478
151,LLL,3,0.0228,1.0177,0.0048,16.1649,6.9132,6.9132,6.752,6.2688,6.6216,0.554,0.2724,0.0048,0.0123,0.0062,0.478
152,LLL,3,0.1761,1.0177,0.0217,16.0927,6.8823,6.8823,6.0411,6.8599,6.4128,1.2821,0.9339,0.0223,0.0239,0.0217,0.478
153,LLL,3,0.1011,1.0177,0.0029,20.9125,8.9436,0.7479,8.872,8.9436,6.1869,2.6901,2.7518,0.0182,0.0092,0.0029,0.478
154,LLL,3,0.1515,1.0177,0.012,16.8517,7.2069,7.0413,7.2069,6.85,7.0152,0.3777,0.3535,0.0241,0.012,0.0129,0.478
155,LLL,3,0.1038,1.0177,0.0094,17.5077,7.4875,7.35,7.4875,7.4387,7.3781,0.5791,0.6066,0.0094,0.0103,0.0166,0.478
156,LLL,3,0.7607,1.0177,0.0803,21.0771,9.014,8.1813,9.014,8.5577,8.5677,0.3709,0.5134,0.0803,0.0841,0.0881,0.478
157,LLL,3,0.2526,1.0177,0.0239,14.8263,6.3407,6.3407,6.0965,6.1659,5.9234,1.2236,1.3709,0.028,0.0338,0.0239,0.478
158,LLL,3,0.4017,1.0177,0.0395,17.5491,7.5052,7.3883,7.5052,7.0192,7.0809,1.1225,1.4125,0.0522,0.0395,0.0479,0.478
159,LLL,3,2.2407,1.0177,0.2333,20.7563,8.8768,8.8768,8.1389,8.0633,8.348,0.4535,0.3511,0.2333,0.242,0.2361,0.478
160,LLL,3,0.2469,1.0177,0.0134,20.5172,8.7745,8.676,8.5639,8.7745,8.6693,0.1763,0.1209,0.0134,0.0277,0.0388,0.478
161,LLL,4,1.9418,1.0195,0.1913,18.8077,8.0434,8.0434,7.379,7.7555,7.7248,0.2672,0.1423,0.2051,0.1913,0.2112,0.076
162,LLL,4,0.6707,1.0195,0.0665,19.7614,8.4513,8.2133,8.4513,7.6737,8.1102,0.091,0.3737,0.0689,0.0665,0.0737,0.076
163,LLL,4,0.14,1.0195,0.0137,22.3152,9.5435,8.8081,8.2028,9.5435,8.8401,0.216,0.6743,0.0243,0.0153,0.0137,0.076
164,LLL,4,0.0952,1.0195,0.0023,18.8056,8.0425,7.7757,8.0425,7.8023,7.8685,0.2187,0.214,0.0023,0.012,0.0177,0.076
165,LLL,4,0.0017,1.0195,0.0004,21.2032,9.0679,9.0679,8.5396,9.0613,8.8857,0.2324,0.2764,0.0004,0.0022,0.0023,0.076
166,LLL,4,0.0014,1.0195,0.003,21.4113,9.1569,9.0457,9.1569,8.2866,8.8277,0.1386,0.4085,0.0038,0.003,0.0064,0.076
167,LLL,4,0.1746,1.0195,0.0202,21.3598,9.1349,8.3593,9.1349,8.6775,8.7196,0.3913,0.1526,0.0251,0.0202,0.0224,0.076
168,LLL,4,0.4786,1.0195,0.0476,21.5878,9.2324,9.2324,8.7485,9.1488,9.0156,0.3833,0.6292,0.0541,0.0527,0.0476,0.076
169,LLL,4,0.1111,1.0195,0.0085,19.5395,8.3564,7.9736,8.3564,8.2974,8.2088,0.1267,0.1297,0.0156,0.0085,0.0097,0.076
170,LLL,4,0.2263,1.0195,0.0202,20.5175,8.7747,8.5963,8.7747,8.2748,8.5424,0.1513,0.3549,0.0223,0.0283,0.0202,0.076
171,LLL,4,0.6625,1.0195,0.0674,19.6397,8.3992,8.3992,7.9042,8.0566,8.1064,0.4818,0.1801,0.0788,0.0674,0.0686,0.076
